assessment_name,assessment_created_date,submitted_for_review_date,program_id,program_title,section_title,question_text,question_rating,question_notes,section_average_rating,goals_set,question_goal_name,question_goal_baseline_rating,question_goal_target_rating,question_goal_achieved_rating,question_goal_status
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,C. Mentor Recruitment,11. Does your program provide prospective mentors with a “job description” that explains the mentor’s role and eligibility criteria?,5,"We provide mentors with a job description during the interview process and again during the mentor training. The description covers the mentor's role, participation requirements, time commitment, benefits, and the application and screening process. ",3.5,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,C. Mentor Recruitment,12. Does your program’s mentor recruitment materials realistically portray the expectations and responsibilities of participating in the program?,4,"Our recruitment materials list the essential requirements for being a mentor - age, time commitment, and the need to be a consistent, positive role model the life of a youth. ",3.5,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,C. Mentor Recruitment,"13. Has your program developed and/or implemented strategies for increasing the diversity of its mentors (e.g. race/ethnicity, sexual orientation, gender identity and expression, socio-economic, etc.)?",2,"Our mentor coordinator and director of volunteer services attend a variety of community events such as Pride, Westside Legends community day, and other various community events throughout the year. This is an area with big opportunities for growth. ",3.5,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,D. Mentee Intake and Enrollment,"14. Does your program have established, written criteria for assessing the fit of mentees and families for the program?",4,"Our Pittsfield Community Connection services coordinator meets with and assesses the fit for participation in our PCC program which includes mentoring services (using written criteria). The services coordinator will then meet with the referral team (including an LICSW clinician) to determine the young person fit for the PCC program/mentoring.  If a participant does not meet the criteria for PCC, they may be referred to our Family Resource Center where the FRC manager will continue the assessment process to determine the best FRC group enrollment. All participants in the mentoring services must also be enrolled in a program at 18 Degrees -ensuring that the youth and their families have wrap around supports in place.",4.17,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,D. Mentee Intake and Enrollment,"15. Does your program offer an in-person or virtual orientation to prospective mentees (and parents/guardians, when relevant) in which they can learn details about the program to determine if they are a good fit for the experience?",3,All youth being enrolled in Pittsfield Community Connection or Family Resource Center programs are given an in-person description of our mentoring services ideally by the mentor coordinator or by the intake staff member if the mentor coordinator is unavailable. ,4.17,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,D. Mentee Intake and Enrollment,16. Does your program require a written application that gathers information about the mentee and their hopes for the program experience?,4,We gather written information from the mentee at intake and during the pre-match process on their goals and hopes for participation in the mentorship program.,4.17,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,D. Mentee Intake and Enrollment,"17. Does your program collect relevant demographic data about potential mentees (e.g., race/ethnicity, sexual orientation, gender identity and expression, disability, etc.)?",4,"Yes, we gather this information during the intake process (and is followed up with at the pre-match to ensure we have as much information as the youth and family are comfortable sharing), it is then entered and tracked in our database system called FAMCare. ",4.17,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,D. Mentee Intake and Enrollment,"18. Does your program conduct an interview with youth (and parents/guardians, when relevant) to learn more about the youth’s needs and goals for the program experience?",5,"Yes, the mentor coordination completes an in-depth pre-match meeting with the youth and caregivers. The youth's outreach/case manager or other trusted adult within the program they are enrolled also offers to attend for addition support. These pre-match meetings are a time for the youth and family to gain a better understanding of the program and for staff to get to know the youth allowing the youth time to share their needs and goals (orally and written).  ",4.17,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,D. Mentee Intake and Enrollment,"19. Does your program require mentees (and parents/guardians, when relevant) to agree in writing to the expectations and responsibilities of participating in the program and working with their mentor(s)?",5,"Yes, during the match meeting a written agreement is signed by the mentee, caregiver and the mentor. Expectations, responsibilities, and goals are set at this time. A copy of this agreement is given to the mentee, mentor, and the youth's caregiver.",4.17,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,"20. Does your program have written, established criteria for assessing the fit of mentors with the program and for disqualifying potential mentors as needed?",4,We have written criteria for our volunteer mentors. It is explained to all new potential mentors that the screening process (for them and for us) begins with the mentor interview and background check and continues through the training and matching process. It is explained that if 18 Degrees mentoring staff determines the volunteer is not a good fit they can be disqualified at any point. We encourage mentors to screen us for fit as well. ,4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,21. Does your program offer an in-person or virtual orientation to prospective mentors in which they can learn details about the program and determine if they are a good fit for the experience?,4,We have a virtual volunteer orientation for the 18 Degrees agency with a presentation offered by the mentor coordinator (highlighting the details about the mentoring program). ,4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,22. Does your program require potential mentors to complete a written application that gathers information relevant to their ability to provide youth with a safe mentoring experience and their suitability for participating in the program?,4,"Yes, our online written volunteer application is extensive and requires three references. ",4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,"23. Does your program collect relevant demographic data about potential mentors (e.g., race/ethnicity, sexual orientation, gender identity and expression, disability, socioeconomic status, etc.)?",4,"Yes, this information is requested on the mentor application and is tracked in our volunteer database.",4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,24. Does your program conduct at least one face-to-face interview with potential mentors?,5,"The interview is conducted by the mentor coordinator and the director of volunteer services. All interviews require two interviewers be present. All interviews are conducted in person. We asked questions about the prospective mentor's growing up years and their familial and personal relationships. We always add the disclaimer that they are only being asked to share as much as they feel comfortable but the more we can learn, the better the match will be. ",4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,"25. Does your program conduct a comprehensive criminal history records check on potential mentors prior to acceptance in the mentoring program, at a minimum searching a state criminal records database, along with sex offender and child abuse registries?",4,"Yes, all mentors are required to complete a national background check through the Datafacts system, a CORI, a SORI, and a driver's record check - including insurance. ",4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,26. Does your program conduct at least two reference checks (personal and/or professional) on potential mentors?,4,We request three references from all volunteer mentors - we require a minimum of two be completed and reviewed before matching. ,4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,27. Does your program utilize any other screening checks or procedures relevant to your program model?,4,,4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,28. Does your program require mentors to agree in writing to the expectations and responsibilities of participating in the program and working with their mentee(s)?,4,"Yes, Mentors sign an agreement along with their mentees and caregivers agreeing to the expectations and responsibilities of the program.",4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,E. Mentor Screening and Enrollment,"29. Does your program ensure that screening processes for mentors follow ethical, professional, and legal standards regarding information sharing and confidentiality?",4,"Yes, all volunteer records kept by the mentor coordinator are locked and confidential. Background information is not kept in the mentor's file but is housed in our HR department with employee records. The same protocols are followed for volunteers as for staff. ",4.1,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,F. Mentee Preparation and Training,30. Does your program require training for mentees that prepares them to be successful in their role as a mentee in the program?,4,"We cover all of the above during the pre-match meeting. This is not a separate training, but it might be helpful if we held it as such. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,F. Mentee Preparation and Training,31. Does your mentee training review program rules and risk management policies?,4,"We cover the above topics with the mentee and their caregiver during the pre-match meeting. Some of the details are also covered again during the match meeting and discussed with the mentee, caregiver, and mentor in the same room. We do this before they all sign the final mentoring agreement. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,F. Mentee Preparation and Training,32. Does your program provide ongoing training or learning opportunities for mentees throughout their participation in the program?,4,Mentees are offered an array of opportunities for training and learning through our youth development programs. These are programs the youth are enrolled in coordination with mentoring and are a part of the wrap around service offered to the youth and families. ,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,G. Mentor Preparation and Training,33. Does your program require at least two hours of pre-mentoring relationship training that prepares mentors to be successful in their role?,5,We hold a 3+ hour training session that all mentors must complete prior to being matched with a mentee.,4.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,G. Mentor Preparation and Training,34. Does your program training inform mentors about program rules and risk management policies?,5,These topics are all covered in the training and talked about again during the match meeting ensuring everyone is understanding of the expectations prior to signing the mentoring agreement.,4.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,G. Mentor Preparation and Training,35. Does your program provide ongoing training opportunities to mentors throughout their participation in the program?,3,"We offer a minimum of two trainings per year on the above-mentioned topics. We've had trainings hosted through 18 Degrees as well as the Institute for Health and Recovery, Mass Mentoring Partnership and other community organizations. We continue to struggle with what to host virtually and what to hold in person in order to gain the best participation. We currently do a mix of both. ",4.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,H. Forming Mentoring Relationships,"36. Does your program have established, documented criteria for forming mentoring relationships between mentors with mentees, either in pairs or groups?",4,"The 18 Degrees Mentoring program has established, documented criteria for forming mentoring relationships as outlined in the policies and procedures manual beginning on page 40. The mentor coordinator provides an additional layer of safety in mentoring matches through consideration of gender (we do not make female mentee/male mentee matches and extra assessment of safety for LGBTQ+ matches (with advisement from our clinician and/or LGBTQ coordinator). ",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,H. Forming Mentoring Relationships,"37. Does your program share information about the proposed mentoring relationship(s) with mentors, mentees, and (when appropriate) parent(s)/guardians to prepare participants for their initial meeting?",4,"Yes, initial information about relationships is shared with the mentors, mentees and parent/guardians prior to their initial meeting. Our goal is to ensure there are no surprises that might potentially derail a match at the match meeting. By sharing this initial information, we hope to determine if any barriers to successful match exist prior to the match meeting. ",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,H. Forming Mentoring Relationships,"38. Does your program arrange and document an initial meeting, facilitated by program staff that includes the mentor(s) and mentee(s), as well as parent(s)/guardian(s) (when appropriate)?",4,"Yes, our match meetings are arranged by the mentor coordinator and include the mentee, caregiver, and mentor. The mentoring Agreement is completed by the mentor and mentee during the match meeting and is signed by all parties. A copy is given to the mentee, caregiver and the mentor. ",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,H. Forming Mentoring Relationships,"39. Does your program have the mentor(s) and mentee(s), as well as parents/guardians when appropriate, sign a relationship commitment agreement at the initial meeting?",5,"Yes, as stated above all parties complete the agreement which includes the mentor/mentee's first activity and time/date they will meet. Contact information and preferred method of contact is also provided for all parties. ",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,I. Parental Engagement,"40. Does your program provide information to parents/guardians about program rules, risk management policies, and their responsibilities in supporting the mentoring relationship?",4,Parents/guardians are given both written and verbal explanations of the program rules and risk management policies as well as signing appropriate release forms. ,3,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,I. Parental Engagement,"41. Does your program regularly engage parents/guardians in the program through information sharing, invitations to special events, sharing progress about their child, or other engagement opportunities?",2,Our mentor coordinator strives to stay in touch with parents and guardians in order to provide support in the mentoring relationship. Contact is generally made through phone calls and texts. We could certainly do more to engage families - some of the suggestions above seem like great ideas. ,3,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,42. Does your program check in separately with mentors twice a month for the first month of the mentoring relationship and monthly thereafter (or at a consistent interval appropriate to the nature of the program and the safety needs and risk level of participants)?,4,"Yes, the mentor coordinator checks in with new mentors at a minimum of 2 times per month (but often it is more) to ensure that folks are meeting, to address any concerns, and to support the mentor. After the first few months, the mentor coordinator will check in a minimum of once a month. We also require mentors to report their hours, activities and a summary of their meetings to the mentor coordinator following each outing. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"43. Does your program check in separately, and in developmentally appropriate ways, with mentees twice a month for the first month of the mentoring relationship and monthly thereafter (or at a consistent interval appropriate to the nature of the program and the safety needs and risk level of participants)?",4,"Yes, our program staff - mentor coordinator and case managers - will check in with mentees regularly (minimum of 2 times a month in the beginning) to assure the match is going well and to assess safety needs of the participants. As matches continue program staff will check in monthly.",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"44. Does your program check in with another responsible adult in the mentee’s life (e.g., parent, guardian, teacher, counselor, etc.) at a minimum of twice a month in the first month of the mentoring relationship and at least quarterly thereafter (or at a consistent interval appropriate to the nature of the program and the safety needs and risk level of participants)?",3,"The mentor coordinator makes every effort to check in with the mentee's caregiver twice a month in the beginning of the match, however, it can sometimes be difficult to get responses. The program staff makes every effort to check in a minimum of once a month for new matches. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"45. Does your program use a standardized protocol at each contact (with mentors, mentees, and responsible adults) that collects information and elicits conversation about mentor and mentee activities, safety concerns, and relationship progress?",3,We complete the check ins however we do not have a standardized form for each contact. This is something that we should be develop. ,4,Yes - Question Goal,Standardized check ins,3,5,,Goal Not Evaluated
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"46. At each contact (with mentors and mentees) does your program provide access to relevant resources (i.e. expert advice from program staff or others, publications, web-based resources, experienced mentors) to support the participant and the mentoring relationship and/or help address needs and challenges as they arise?",5,"Yes, our mentor coordinator provides access to resources and will elicit help from other program staff and community partners as needed. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"47. Does your program document all contacts with participants by gathering relevant information (e.g., meeting dates and activities, challenges and support provided, goals achieved, etc.) in an appropriate format accessible by relevant staff?",5,All contacts with participants are entered as case notes (including meeting dates and activities) and documented in our FAMCare database which all relevant staff can access.,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"48. Does your program have a process for ensuring that mentoring relationship support procedures are adhered to, and that program staff contact participants as required?",4,The mentor coordinator receives weekly supervision from the director of volunteer services who reviews each match and ensures contacts are being made. The director will also assist the mentor coordinator in making contacts as needed and address concerns as they arise. ,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,49. Does your program conduct additional activities to support mentors or mentoring relationships throughout the year?,4,Our program attempts to provide 2-3 mentor/mentee group activities per year. We offer monthly mentor meetings for peer support and guidance from staff. The PCC program also provides drop-in hours to all participants and often mentees attend and get to know each other outside of the program. We also have mentor/mentees that meet as pair groups to attend community events or other activities. These pair outings help to build relationships for both mentors and mentees outside of just their match. ,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"50. Does your program regularly recognize and thank program participants for their contributions, such as with occasional thank-you cards, other gifts or tokens of recognition, or end-of-year celebration events?",4,"We host a yearly mentor/mentee dinner during National Mentoring Month in January hand out gift cards for an activity (such as movie passes or a dining GC). We also hold a Volunteer Appreciation event in April (food is served, we have a Thank You speech from our board chair and our CEO) during national volunteer week. We send birthday cards to all mentors. GCs are also distributed to participants throughout the year. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,J. Supporting Mentoring Relationships,"51. Does your program evaluate whether mentoring relationships should be “renewed” or formally closed, emphasizing participant desires, at the end of each typical cycle?",4,"Yes, at the end of one-year (and each subsequent year) participants are evaluated to determine whether or not they would like to continue the mentoring relationship. If it is determined that the relationship will close - participants are brought back together for a formal closure meeting. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,K. Relationship Closure,"52. Does your program have written protocols for handling a variety of closure circumstances, including anticipated and/or unanticipated closures, scenarios in which participants are willing/unwilling, or able/unable to engage in a closure process and goodbye meeting?",4,"Yes, we have written protocols for a variety of closure circumstances. ",3.8,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,K. Relationship Closure,"53. Does your program prepare and/or coach mentors, mentees, and parents/guardians (when relevant) for a final goodbye meeting or other closure activities?",4,"We try to hold a ""healthy closure"" meeting whenever possible. This meeting is facilitated by the mentor coordinator and provides the opportunity for everyone to come back together and reflect on their experience and process feelings. We understand that it is a crucial aspect of the mentoring relationship.",3.8,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,K. Relationship Closure,54. Does your program have established criteria for whether and how participants should be re-matched and procedures for how re-matching is done?,3,"Participants can be re-matched, after an evaluation by the mentor coordinator. Things such as past engagement are mentee needs evaluated.",3.8,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,K. Relationship Closure,"55. Does your program conduct exit interviews with mentors, mentees, and parents/guardians once the programmatic timeline ends?",4,"Due to a change in staffing for the mentor coordinator position, I am not sure exactly what was covered during exit interviews - I don't believe they were necessarily held ""formally"" or included outcome assessments. This is an area for growth for our program.",3.8,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,K. Relationship Closure,"56. Does your program document all relationship closures and exits from the program in the program’s information management system, including the date of exit and if relationships are no longer reported as active in reporting and evaluation?",4,All program closures are documented in our database system and after closure are made inactive. ,3.8,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,57. Does your program have a board of directors or advisory committee that operates with clear roles and responsibilities and meets on a regularly scheduled basis?,4,"Yes, 18 Degrees has a 18-member board of directors with clear roles and responsibilities who meet quarterly. Further information on board roles and demographics can be provided upon request.",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,58. Does your program’s board of directors provide adequate resources and governance to support the program?,4,"Yes, our board provides a wide range of resources and provides governance to support the agency which in turn supports the mentoring program.",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,59. Do the members of your program’s board of directors or advisory committee reflect the diversity of the community being served and the mentors and mentees participating in the program?,4,"It is the goal of 18 Degrees to champion inclusion, diversity, equity, and access in all areas of the agency including our board of directors. 18 Degrees supports a culture of Inclusion, Diversity, Equity, and Access (IDEA) for our board, staff and our participants. ",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,"60. Does your program’s board of directors or advisory committee regularly assess and balance its composition by race/ethnicity, gender, sexuality, ability, etc.?",4,Discussion of balancing the board's composition while supporting diversity is an ongoing conversation. ,4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,61. Are youth represented on your board of directors or advisory committee or offered other meaningful opportunities to provide input into program leadership and/or decisions?,4,"We do not have youth members on our board of directors, however our youth development program has a youth leadership council that meet regularly to provide feedback and guidance to our senior team and board members. ",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,62. Does the staff of your program reflect the diversity of the community being served and the mentors and mentees participating in the program?,4,"18 Degrees supports a culture of Inclusion, Diversity, Equity, and Access (IDEA) for both our staff and our participants. 18 Degrees hires staff from the communities where we work, valuing lived experience and community knowledge in our selection process. Working with our staff who have lived experience allows participants to feel they matter, and provides them with a model of life success, giving them hope and fostering empowerment.  We coach participants to develop skills needed to be good advocates for their families, and to bring their voice to the table. Hiring staff with lived experience helps to build trusting relationships with participants who reflect similar backgrounds and shared experiences, including a cultural standpoint and shared language. We actively recruit employees who speak languages in addition to English, with Spanish being the most common.  We pay a language differential to employees who speak languages in addition to English",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,"63. Does program leadership (or the board of directors) regularly assess its organization and leadership composition by race/ethnicity, gender, sexuality, ability, etc.?",4,"Yes, program leadership is regularly assessing its composition for diversity, Equity and inclusion. ",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,"64. Does your organization have strategies and policies in place to recruit and retain staff of color, including leadership?",4,"Having a representative board and workforce strengthens our commitment and our capacity to support our community. Within our agency, 33% of our 156 employees identify as BIPOC. On our eight-person senior leadership team, 38% identify as BIPOC and 63% are women. On our seventeen-person board of directors, 65% of members are women, and 24% identify as BIPOC. ",4.14,No,,,,,
