Section,Question,"Average Rating","BBBS of Alaska - Juneau rating","BBBS of Alaska - Juneau comments","BBBS of Alaska -- Fairbanks rating","BBBS of Alaska -- Fairbanks comments","BBBS of Alaska --Anchorage rating","BBBS of Alaska --Anchorage comments","Big Brother Sports Buddies Program rating","Big Brother Sports Buddies Program comments","Big Brothers Big Sisters Community Mentoring Program rating","Big Brothers Big Sisters Community Mentoring Program comments","Big Brothers Big Sisters of Santa Cruz County rating","Big Brothers Big Sisters of Santa Cruz County comments","Big Brothers Big Sisters of Siouxland rating","Big Brothers Big Sisters of Siouxland comments","Big Brothers Big Sisters of the Bay Area rating","Big Brothers Big Sisters of the Bay Area comments","Hyun 8/29 Maryland rating","Hyun 8/29 Maryland comments","Hyun Test 5/2 rating","Hyun Test 5/2 comments","Hyun Test Program rating","Hyun Test Program comments","Hyun Test Program 6/24 rating","Hyun Test Program 6/24 comments","Hyuns test Iowa Program  rating","Hyuns test Iowa Program  comments","Orases Test Program rating","Orases Test Program comments","Project Uplift rating","Project Uplift comments"
"C. Mentor Recruitment","11. Does your program provide prospective mentors with a “job description” that explains the mentor’s role and eligibility criteria?",1.3333333333333,N/A,,N/A,,2,,N/A,,3,,2,,3,,1,,2,,N/A,,1,,2,,3,,N/A,,1,
"C. Mentor Recruitment","12. Does your program’s mentor recruitment materials realistically portray the expectations and responsibilities of participating in the program?",1.8666666666667,3,,N/A,,4,,N/A,,1,,2,,1,,1,,5,,N/A,,1,,5,,3,,N/A,,2,
"C. Mentor Recruitment","13. Has your program developed and/or implemented strategies for increasing the diversity of its mentors (e.g. race/ethnicity, sexual orientation, gender identity and expression, socio-economic, etc.)?",2,3,,N/A,,4,,4,,0,,2,,N/A,,1,,4,,3,,1,,3,,2,,N/A,,3,
"F. Mentee Preparation and Training","30. Does your program require training for mentees that prepares them to be successful in their role as a mentee in the program?",1.4,N/A,,N/A,,1,,2,,N/A,,N/A,,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",0,,5,,2,,1,,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,wqhurishfskjdnfwelkjrfoaisca,2,,1,
"F. Mentee Preparation and Training","31. Does your mentee training review program rules and risk management policies?",2.0666666666667,3,,N/A,,2,,N/A,,3,,4,,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,3,,3,,1,,3,,3,,N/A,,2,
"F. Mentee Preparation and Training","32. Does your program provide ongoing training or learning opportunities for mentees throughout their participation in the program?",1.6,2,,N/A,,N/A,,4,,1,,2,,2,,0,,4,,3,,1,,N/A,,3,,N/A,,2,
"D. Mentee Intake and Enrollment","14. Does your program have established, written criteria for assessing the fit of mentees and families for the program?",1.8,N/A,,N/A,,3,,3,,3,,2,,N/A,,1,,1,,5,,1,,4,,4,,N/A,,N/A,
"D. Mentee Intake and Enrollment","15. Does your program offer an in-person or virtual orientation to prospective mentees (and parents/guardians, when relevant) in which they can learn details about the program to determine if they are a good fit for the experience?",1.6,5,,N/A,,N/A,,4,,3,,2,,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,N/A,,N/A,,1,,2,,3,,N/A,,N/A,
"D. Mentee Intake and Enrollment","16. Does your program require a written application that gathers information about the mentee and their hopes for the program experience?",1.1333333333333,2,,N/A,,N/A,,N/A,,4,,0,,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,3,,4,,1,,N/A,,2,,N/A,,N/A,
"D. Mentee Intake and Enrollment","17. Does your program collect relevant demographic data about potential mentees (e.g., race/ethnicity, sexual orientation, gender identity and expression, disability, etc.)?",1.5333333333333,2,,N/A,,N/A,,N/A,,3,,4,,4,,1,,N/A,,4,,1,,N/A,,3,,N/A,,1,
"D. Mentee Intake and Enrollment","18. Does your program conduct an interview with youth (and parents/guardians, when relevant) to learn more about the youth’s needs and goals for the program experience?",1.5333333333333,2,,N/A,,N/A,,2,,2,,2,,5,,1,,3,,2,,1,,N/A,,2,,N/A,,1,
"D. Mentee Intake and Enrollment","19. Does your program require mentees (and parents/guardians, when relevant) to agree in writing to the expectations and responsibilities of participating in the program and working with their mentor(s)?",2.0666666666667,4,,N/A,,2,,4,,3,,2,,3,,1,,N/A,,4,,1,,N/A,,4,,N/A,,3,
"E. Mentor Screening and Enrollment","20. Does your program have written, established criteria for assessing the fit of mentors with the program and for disqualifying potential mentors as needed?",2,N/A,,N/A,,3,,N/A,,3,,N/A,,5,,1,,4,,4,,1,,3,,4,,N/A,,2,
"E. Mentor Screening and Enrollment","21. Does your program offer an in-person or virtual orientation to prospective mentors in which they can learn details about the program and determine if they are a good fit for the experience?",1.2,4,,N/A,,N/A,,N/A,,2,,N/A,,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,2,,1,,1,,N/A,,4,,N/A,,3,
"E. Mentor Screening and Enrollment","22. Does your program require potential mentors to complete a written application that gathers information relevant to their ability to provide youth with a safe mentoring experience and their suitability for participating in the program?",1.4666666666667,N/A,,N/A,,2,,4,,3,,3,,N/A,,1,,N/A,,3,,1,,N/A,,2,,N/A,,3,
"E. Mentor Screening and Enrollment","23. Does your program collect relevant demographic data about potential mentors (e.g., race/ethnicity, sexual orientation, gender identity and expression, disability, socioeconomic status, etc.)?",1.5333333333333,2,,N/A,,3,,N/A,,2,,2,,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,4,,3,,1,,N/A,,2,,N/A,,3,
"E. Mentor Screening and Enrollment","24. Does your program conduct at least one face-to-face interview with potential mentors?",1,3,,N/A,,N/A,,2,,2,,N/A,,2,,0,,1,,N/A,,1,,N/A,,4,,N/A,,N/A,
"E. Mentor Screening and Enrollment","25. Does your program conduct a comprehensive criminal history records check on potential mentors prior to acceptance in the mentoring program, at a minimum searching a state criminal records database, along with sex offender and child abuse registries?",1.8666666666667,2,,N/A,,N/A,,N/A,,3,,4,,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,2,,4,,1,,N/A,,4,,N/A,,4,
"E. Mentor Screening and Enrollment","26. Does your program conduct at least two reference checks (personal and/or professional) on potential mentors?",2.0666666666667,2,,N/A,,N/A,,3,,5,,3,,2,,1,,4,,3,,1,,3,,4,,N/A,,N/A,
"E. Mentor Screening and Enrollment","27. Does your program utilize any other screening checks or procedures relevant to your program model?",1.5333333333333,N/A,,N/A,,1,,2,,2,,2,,4,,1,,N/A,,4,,1,,N/A,,4,,2,,N/A,
"E. Mentor Screening and Enrollment","28. Does your program require mentors to agree in writing to the expectations and responsibilities of participating in the program and working with their mentee(s)?",2.2666666666667,4,,N/A,,N/A,,1,,3,,5,,3,,1,,4,,2,,1,,4,,2,,N/A,,4,
"G. Mentor Preparation and Training","33. Does your program require at least two hours of pre-mentoring relationship training that prepares mentors to be successful in their role?",1.9333333333333,3,,N/A,,N/A,,2,,2,,5,,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,1,,0,,1,,N/A,,5,,2,,3,
"G. Mentor Preparation and Training","34. Does your program training inform mentors about program rules and risk management policies?",2.3333333333333,4,,N/A,,3,,3,,2,,3,,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,3,,0,,1,,3,,3,,N/A,,4,
"G. Mentor Preparation and Training","35. Does your program provide ongoing training opportunities to mentors throughout their participation in the program?",1.5333333333333,4,,N/A,,1,,N/A,,1,,2,,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,2,,2,,1,,N/A,,N/A,,2,,2,
"H. Forming Mentoring Relationships","36. Does your program have established, documented criteria for forming mentoring relationships between mentors with mentees, either in pairs or groups?",1.6,4,,N/A,,1,,2,,N/A,,1,,1,,1,,4,,2,,2,,N/A,,4,,N/A,,2,
"H. Forming Mentoring Relationships","37. Does your program share information about the proposed mentoring relationship(s) with mentors, mentees, and (when appropriate) parent(s)/guardians to prepare participants for their initial meeting?",1.8,1,,N/A,,1,,3,,2,,2,,4,,1,,2,,3,,1,,N/A,,3,,N/A,,4,
"H. Forming Mentoring Relationships","38. Does your program arrange and document an initial meeting, facilitated by program staff that includes the mentor(s) and mentee(s), as well as parent(s)/guardian(s) (when appropriate)?",1.4,N/A,,N/A,,0,,2,,3,,2,,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,N/A,,2,,1,,2,,3,,N/A,,5,
"H. Forming Mentoring Relationships","39. Does your program have the mentor(s) and mentee(s), as well as parents/guardians when appropriate, sign a relationship commitment agreement at the initial meeting?",1.1333333333333,N/A,,N/A,,N/A,,3,,3,,N/A,,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,N/A,,1,,1,,2,,4,,N/A,,0,
"I. Parental Engagement","40. Does your program provide information to parents/guardians about program rules, risk management policies, and their responsibilities in supporting the mentoring relationship?",1.7333333333333,2,,N/A,,N/A,,3,,2,,4,,4,,1,,4,,1,,1,,N/A,,1,,N/A,,3,
"I. Parental Engagement","41. Does your program regularly engage parents/guardians in the program through information sharing, invitations to special events, sharing progress about their child, or other engagement opportunities?",1.2,N/A,,N/A,,N/A,,0,,3,,1,,2,,1,,N/A,,3,,1,,N/A,,4,,N/A,,3,
"J. Supporting Mentoring Relationships","42. Does your program check in separately with mentors twice a month for the first month of the mentoring relationship and monthly thereafter (or at a consistent interval appropriate to the nature of the program and the safety needs and risk level of participants)?",1.7333333333333,3,,N/A,,3,,3,,1,,N/A,,3,,1,,3,,1,,1,,N/A,,4,,N/A,,3,
"J. Supporting Mentoring Relationships","43. Does your program check in separately, and in developmentally appropriate ways, with mentees twice a month for the first month of the mentoring relationship and monthly thereafter (or at a consistent interval appropriate to the nature of the program and the safety needs and risk level of participants)?",1.4,2,,N/A,,3,,N/A,,2,,N/A,,2,,1,,2,,3,,1,,N/A,,3,,N/A,,2,
"J. Supporting Mentoring Relationships","44. Does your program check in with another responsible adult in the mentee’s life (e.g., parent, guardian, teacher, counselor, etc.) at a minimum of twice a month in the first month of the mentoring relationship and at least quarterly thereafter (or at a consistent interval appropriate to the nature of the program and the safety needs and risk level of participants)?",2.2666666666667,3,,N/A,,4,,2,,3,,3,,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,2,,3,,1,,3,,2,,N/A,,3,
"J. Supporting Mentoring Relationships","45. Does your program use a standardized protocol at each contact (with mentors, mentees, and responsible adults) that collects information and elicits conversation about mentor and mentee activities, safety concerns, and relationship progress?",1.5333333333333,2,,N/A,,N/A,,3,,2,,2,,4,,1,,N/A,,0,,1,,4,,N/A,,N/A,,4,
"J. Supporting Mentoring Relationships","46. At each contact (with mentors and mentees) does your program provide access to relevant resources (i.e. expert advice from program staff or others, publications, web-based resources, experienced mentors) to support the participant and the mentoring relationship and/or help address needs and challenges as they arise?",1.4,N/A,,N/A,,N/A,,2,,5,,1,,4,,1,,3,,0,,1,,N/A,,1,,N/A,,3,
"J. Supporting Mentoring Relationships","47. Does your program document all contacts with participants by gathering relevant information (e.g., meeting dates and activities, challenges and support provided, goals achieved, etc.) in an appropriate format accessible by relevant staff?",1.8,3,,N/A,,N/A,,3,,2,,4,,2,,1,,3,,3,,1,,N/A,,2,,N/A,,3,
"J. Supporting Mentoring Relationships","48. Does your program have a process for ensuring that mentoring relationship support procedures are adhered to, and that program staff contact participants as required?",1.2666666666667,N/A,,N/A,,1,,0,,2,,4,,4,,1,,N/A,,4,,1,,N/A,,2,,N/A,,N/A,
"J. Supporting Mentoring Relationships","49. Does your program conduct additional activities to support mentors or mentoring relationships throughout the year?",1.0666666666667,N/A,,N/A,,N/A,,1,,3,,5,,1,,1,,N/A,,2,,1,,N/A,,2,,N/A,,N/A,
"J. Supporting Mentoring Relationships","50. Does your program regularly recognize and thank program participants for their contributions, such as with occasional thank-you cards, other gifts or tokens of recognition, or end-of-year celebration events?",2.2666666666667,2,,N/A,,4,,2,,3,,4,,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,4,,4,,1,,1,,3,,N/A,,3,
"J. Supporting Mentoring Relationships","51. Does your program evaluate whether mentoring relationships should be “renewed” or formally closed, emphasizing participant desires, at the end of each typical cycle?",0.93333333333333,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,3,,1,,N/A,,4,,1,,3,,2,,N/A,,N/A,
"K. Relationship Closure","52. Does your program have written protocols for handling a variety of closure circumstances, including anticipated and/or unanticipated closures, scenarios in which participants are willing/unwilling, or able/unable to engage in a closure process and goodbye meeting?",2.1333333333333,3,,N/A,,4,,3,,5,,N/A,,3,,1,,3,,3,,1,,N/A,,3,,N/A,,3,
"K. Relationship Closure","53. Does your program prepare and/or coach mentors, mentees, and parents/guardians (when relevant) for a final goodbye meeting or other closure activities?",1.6666666666667,3,,N/A,,N/A,,3,,3,,2,,5,,1,,N/A,,0,,1,,N/A,,3,,N/A,,4,
"K. Relationship Closure","54. Does your program have established criteria for whether and how participants should be re-matched and procedures for how re-matching is done?",1.7333333333333,1,,N/A,,N/A,,3,,2,,3,,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,4,,2,,1,,N/A,,N/A,,N/A,,4,
"K. Relationship Closure","55. Does your program conduct exit interviews with mentors, mentees, and parents/guardians once the programmatic timeline ends?",1.9333333333333,4,,N/A,,4,,N/A,,3,,5,,2,,1,,1,,3,,1,,3,,N/A,,N/A,,2,
"K. Relationship Closure","56. Does your program document all relationship closures and exits from the program in the program’s information management system, including the date of exit and if relationships are no longer reported as active in reporting and evaluation?",1.2666666666667,3,,N/A,,N/A,,N/A,,2,,3,,2,,1,,4,,3,,1,,N/A,,N/A,,N/A,,N/A,
"L. Program Leadership and Staffing","57. Does your program have a board of directors or advisory committee that operates with clear roles and responsibilities and meets on a regularly scheduled basis?",1.8666666666667,N/A,,N/A,,2,,2,,3,,N/A,,3,,1,,3,,4,,1,,N/A,,5,,N/A,,4,
